,Study,Authors,Year,Source,City_Region,Country,Climate,Number_Participants,Male,Female,Age,Occupation,Anthropometric_Data,Health_Status,Clothing_Insulation,Clothing_Insulation2,Exposure_Time,Measure,Measure_Type,Metric,SA,TLow_C,THigh_C,TLow_F,THigh_F,PLow,PHigh
88,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Picture recognition,Recognition Memory,RT,Speed,19.5,25.4,67.1,77.72,19.93,19.55
89,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Picture recognition,Recognition Memory,RT,Speed,25.4,27.2,77.72,80.96,19.55,18.83
90,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Picture recognition,Recognition Memory,RT,Speed,27.2,32.2,80.96,89.96,18.83,19.13
91,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Symbol-digit modalities,Short-Term Memory,RT,Speed,19.5,25.4,67.1,77.72,145.75,142.3
92,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Symbol-digit modalities,Short-Term Memory,RT,Speed,25.4,27.2,77.72,80.96,142.3,146.01
93,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Symbol-digit modalities,Short-Term Memory,RT,Speed,27.2,32.2,80.96,89.96,146.01,136.1
94,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Visual choice reaction time,Sustained Attention,RT,Speed,19.5,25.4,67.1,77.72,47.13,46.91
95,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Visual choice reaction time,Sustained Attention,RT,Speed,25.4,27.2,77.72,80.96,46.91,46.55
96,09-Lan,"Lan, Lian, Pan, Ye",2009,Building and Environment,NA,China,Continental,24,12,12,25,Students,NO,NO,0.6,0.6,80,Visual choice reaction time,Sustained Attention,RT,Speed,27.2,32.2,80.96,89.96,46.55,46.53
97,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Letter search,Visual Searching,RT,Speed,18,21.1,64.4,69.98,83.7,81.9
98,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Letter search,Visual Searching,RT,Speed,21.1,28.2,69.98,82.76,81.9,82.3
99,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Overlapping,Visual Searching,RT,Speed,18,21.1,64.4,69.98,189.4,188.5
100,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Overlapping,Visual Searching,RT,Speed,21.1,28.2,69.98,82.76,188.5,200.6
101,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Picture recognition,Recognition Memory,RT,Speed,18,21.1,64.4,69.98,30.2,29.2
102,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Picture recognition,Recognition Memory,RT,Speed,21.1,28.2,69.98,82.76,29.2,30
103,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Number calculation,Mathematical Reasoning,RT,Speed,18,21.1,64.4,69.98,817.9,825.6
104,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Number calculation,Mathematical Reasoning,RT,Speed,21.1,28.2,69.98,82.76,825.6,857.7
105,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Event sequence,Verbal Comprehension,RT,Speed,18,21.1,64.4,69.98,331.9,318.7
106,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Event sequence,Verbal Comprehension,RT,Speed,21.1,28.2,69.98,82.76,318.7,335.5
107,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Conditional reasoning,Deductive Reasoning,RT,Speed,18,21.1,64.4,69.98,337.2,338.5
108,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Conditional reasoning,Deductive Reasoning,RT,Speed,21.1,28.2,69.98,82.76,338.5,342
109,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Reading comprehension,Verbal Comprehension,RT,Speed,18,21.1,64.4,69.98,166.6,165.1
110,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Reading comprehension,Verbal Comprehension,RT,Speed,21.1,28.2,69.98,82.76,165.1,152.2
111,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Spatial image,Spatial Reasoning,RT,Speed,18,21.1,64.4,69.98,156.1,143.7
112,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Spatial image,Spatial Reasoning,RT,Speed,21.1,28.2,69.98,82.76,143.7,168.4
113,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Graphic abstracting,Spatial Reasoning,RT,Speed,18,21.1,64.4,69.98,209.5,178.7
114,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Graphic abstracting,Spatial Reasoning,RT,Speed,21.1,28.2,69.98,82.76,178.7,209.1
115,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Visual choice reaction time,Sustained Attention,RT,Speed,18,21.1,64.4,69.98,141.3,140.4
116,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Visual choice reaction time,Sustained Attention,RT,Speed,21.1,28.2,69.98,82.76,140.4,144.8
117,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Hand-eye coordination,Visual Motor Tracking,RT,Speed,18,21.1,64.4,69.98,60.1,58.8
118,09-LL,"Lan, Lian",2009,Building and Environment,NA,China,Continental,22,15,6,NA,Students,NO,NO,1.2,1.2,120,Hand-eye coordination,Visual Motor Tracking,RT,Speed,21.1,28.2,69.98,82.76,58.8,59.3
119,05-Th.2,"Tham, Willem",2005,ASHRAE Transactions,Singapore,Singapore,Tropical,26,2,24,33,Call center officers,NO,YES,NA,0.67,4800,Talk time,Existing Outcome Measures,T,Speed,22.5,24.5,72.5,76.1,167.742,177.204
120,05-Th.2,"Tham, Willem",2005,ASHRAE Transactions,Singapore,Singapore,Tropical,26,2,24,33,Call center officers,NO,YES,NA,0.67,4800,Talk time,Existing Outcome Measures,T,Speed,22.9,24.4,73.22,75.92,161.935,173.978
121,05-Th.1,"Tham, Willem",2005,ASHRAE Transactions,Singapore,Singapore,Tropical,27,NA,NA,NA,Call center officers,NO,NO,NA,0.58,4800,Talk time,Existing Outcome Measures,T,Speed,21.9,24.8,71.42,76.64,133.978,143.118
122,05-Th.1,"Tham, Willem",2005,ASHRAE Transactions,Singapore,Singapore,Tropical,27,NA,NA,NA,Call center officers,NO,NO,NA,0.58,4800,Talk time,Existing Outcome Measures,T,Speed,22,24.5,71.6,76.1,139.892,132.903
123,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Tsai-Partington,Visual Searching,NOE,Speed,22.2,25.9,71.96,78.62,13.5,13.3
124,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Tsai-Partington,Visual Searching,NOE,Speed,25.9,29.9,78.62,85.82,13.3,13
125,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Addition,Mathematical Reasoning,NOE,Speed,22.2,25.9,71.96,78.62,229.1,225.6
126,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Addition,Mathematical Reasoning,NOE,Speed,25.9,29.9,78.62,85.82,225.6,227.2
127,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Proofreading,Verbal Comprehension,NOE,Speed,22.2,25.9,71.96,78.62,11.6,11.5
128,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Proofreading,Verbal Comprehension,NOE,Speed,25.9,29.9,78.62,85.82,11.5,11.3
129,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Text typing,Simulated Work,NOE,Speed,22.2,25.9,71.96,78.62,163.3,164.6
130,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Text typing,Simulated Work,NOE,Speed,25.9,29.9,78.62,85.82,164.6,162.8
131,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Text typing,Simulated Work,NOE,Speed,22.2,25.9,71.96,78.62,162.6,154.6
132,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Text typing,Simulated Work,NOE,Speed,25.9,29.9,78.62,85.82,154.6,159.4
133,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Tsai-Partington,Visual Searching,NOE,Speed,22.3,25.8,72.14,78.44,13.1,14.1
134,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Tsai-Partington,Visual Searching,NOE,Speed,25.8,29.7,78.44,85.46,14.1,14.9
135,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Addition,Mathematical Reasoning,NOE,Speed,22.3,25.8,72.14,78.44,216,227.4
136,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Addition,Mathematical Reasoning,NOE,Speed,25.8,29.7,78.44,85.46,227.4,220.1
137,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Addition,Mathematical Reasoning,NOE,Speed,22.3,25.8,72.14,78.44,12.2,11.6
138,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Addition,Mathematical Reasoning,NOE,Speed,25.8,29.7,78.44,85.46,11.6,11.9
139,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Text typing,Simulated Work,NOE,Speed,22.3,25.8,72.14,78.44,163.6,166.8
140,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Text typing,Simulated Work,NOE,Speed,25.8,29.7,78.44,85.46,166.8,166.9
141,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Text typing,Simulated Work,NOE,Speed,22.3,25.8,72.14,78.44,3.3,3
142,04-Wi,"Witterseh, Wyon, Clausen",2004,Indoor Air,Copenhagen,Denmark,Temperate,30,16,14,NA,NA,NO,YES,NA,0.42,180,Text typing,Simulated Work,NOE,Speed,25.8,29.7,78.44,85.46,3,3
143,04-Th,Tham,2004,Indoor Air,Singapore,Singapore,Tropical,56,0,56,28,Call center officers,NO,NO,NA,NA,4800,Talk time,Existing Outcome Measures,T,Speed,22.5,24.5,72.5,76.1,217.356,223.103
144,04-Th,Tham,2004,Indoor Air,Singapore,Singapore,Tropical,56,0,56,28,Call center officers,NO,NO,NA,NA,4800,Talk time,Existing Outcome Measures,T,Speed,22.5,24.5,72.5,76.1,224.828,185.747
145,04-Ta,"Tanabe, Nishihara",2004,Indoor Air,Tokyo,Japan,Temperate,40,20,20,NA,Students,NO,NO,0.76,0.76,90,Choice reaction time,Sustained Attention,NOE,Speed,25.4,27.9,77.72,82.22,126.4,128.8
146,04-Ta,"Tanabe, Nishihara",2004,Indoor Air,Tokyo,Japan,Temperate,40,20,20,NA,Students,NO,NO,0.76,0.76,90,Choice reaction time,Sustained Attention,NOE,Speed,27.9,33,82.22,91.4,128.8,121.2
147,04-Ta,"Tanabe, Nishihara",2004,Indoor Air,Tokyo,Japan,Temperate,40,20,20,NA,Students,NO,NO,0.76,0.76,90,Text typing,Simulated Work,NOE,Speed,25.4,27.9,77.72,82.22,85.806,94.839
148,04-Ta,"Tanabe, Nishihara",2004,Indoor Air,Tokyo,Japan,Temperate,40,20,20,NA,Students,NO,NO,0.76,0.76,90,Text typing,Simulated Work,NOE,Speed,27.9,33,82.22,91.4,94.839,94.839
149,02-Ni.1,"Niemela, Hannula, Rautio, Reijula, Railio",2002,Energy and Buildings,NA,Finland,Continental,35,1,34,NA,Call center officers,NO,NO,NA,NA,NA,Telephone communcations,Existing Outcome Measures,NOE,Speed,23.6,25.2,74.48,77.36,1.05,0.99
150,02-Ni.2,"Niemela, Hannula, Rautio, Reijula, Railio",2002,Energy and Buildings,NA,Finland,Continental,15,0,15,NA,Call center officers,NO,NA,NA,NA,NA,Telephone communcations,Existing Outcome Measures,NOE,Speed,22.6,25.1,72.68,77.18,1.073,1
151,62-Gi,"Givoni, Rim",1962,Ergonomics,Haifa,Israel,Temperate,4,NA,NA,NA,Students,NO,NO,NA,NA,120,Multiplication,Mathematical Reasoning,NOE,Speed,24.6,27.9,76.28,82.22,15,15
152,62-Gi,"Givoni, Rim",1962,Ergonomics,Haifa,Israel,Temperate,4,NA,NA,NA,Students,NO,NO,NA,NA,120,Multiplication,Mathematical Reasoning,NOE,Speed,27.9,34.3,82.22,93.74,15,13.5
153,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Addition,Mathematical Reasoning,NOC,Accuracy,21.7,25.2,71.06,77.36,29.533,29.667
154,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Addition,Mathematical Reasoning,NOC,Accuracy,25.2,28.6,77.36,83.48,29.667,27.933
155,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Addition,Mathematical Reasoning,NOC,Accuracy,21.7,25.2,71.06,77.36,15.267,13.733
156,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Addition,Mathematical Reasoning,NOC,Accuracy,25.2,28.6,77.36,83.48,13.733,13
157,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Forward digit span,Short-Term Memory,NOC,Accuracy,21.7,25.2,71.06,77.36,17.867,17.867
158,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Forward digit span,Short-Term Memory,NOC,Accuracy,25.2,28.6,77.36,83.48,17.867,17.933
159,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Forward digit span,Short-Term Memory,NOC,Accuracy,21.7,25.2,71.06,77.36,11.733,10.667
160,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Forward digit span,Short-Term Memory,NOC,Accuracy,25.2,28.6,77.36,83.48,10.667,9.533
161,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Visual search,Visual Searching,NOC,Accuracy,21.7,25.2,71.06,77.36,39.533,37.6
162,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Visual search,Visual Searching,NOC,Accuracy,25.2,28.6,77.36,83.48,37.6,34.733
163,17-Zh,"Zhang, Haddad, Nakisa, Rastgoo, Candido, Tjondronegoro, de Dear",2017,Building and Environment,Sydney,Australia,Temperate,26,12,14,NA,Office workers,NO,NO,NA,NA,180,Digit span,Short-Term Memory,SC,Accuracy,22,25,71.6,77,7.162,7.432
164,17-Zh,"Zhang, Haddad, Nakisa, Rastgoo, Candido, Tjondronegoro, de Dear",2017,Building and Environment,Sydney,Australia,Temperate,26,12,14,NA,Office workers,NO,NO,NA,NA,180,Feature match,Visual Searching,SC,Accuracy,22,25,71.6,77,128.378,137.297
165,17-Zh,"Zhang, Haddad, Nakisa, Rastgoo, Candido, Tjondronegoro, de Dear",2017,Building and Environment,Sydney,Australia,Temperate,26,12,14,NA,Office workers,NO,NO,NA,NA,180,Grammatical reasoning,Grammatical Reasoning,SC,Accuracy,22,25,71.6,77,17.105,17.697
166,17-Zh,"Zhang, Haddad, Nakisa, Rastgoo, Candido, Tjondronegoro, de Dear",2017,Building and Environment,Sydney,Australia,Temperate,26,12,14,NA,Office workers,NO,NO,NA,NA,180,Spatial planning,Spatial Planning,SC,Accuracy,22,25,71.6,77,23.526,27.553
167,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Mental redirection,Spatial Memory,RE,Accuracy,27.1,35.5,80.78,95.9,97.2,96.8
168,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Grammatical reasoning,Grammatical Reasoning,RE,Accuracy,27.1,35.5,80.78,95.9,94.1,91.8
169,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Stroop,Inhibition,RE,Accuracy,27.1,35.5,80.78,95.9,98.1,97.8
170,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Addition & subtraction,Mathematical Reasoning,RE,Accuracy,27.1,35.5,80.78,95.9,98.9,97.3
171,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Multiplication,Mathematical Reasoning,RE,Accuracy,27.1,35.5,80.78,95.9,93.3,92.5
172,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Visual reaction time,Sustained Attention,RE,Accuracy,27.1,35.5,80.78,95.9,97.9,97.6
173,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Visual learning memory,Recognition Memory,RE,Accuracy,27.1,35.5,80.78,95.9,89.3,89.2
174,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Digit span memory,Short-Term Memory,SP,Accuracy,27.1,35.5,80.78,95.9,9.9,9.92
175,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,d2 test,Visual Searching,RE,Accuracy,27.1,35.5,80.78,95.9,97.1,97
176,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Addition,Mathematical Reasoning,RE,Accuracy,17.9,20,64.22,68,91.8,95.9
